Form_ID	Language_ID	Cognateset_ID
310	Gondi	cloud-C
311	Koya	cloud-C
312	Telugu	cloud-C
313	Betta_Kurumba	cloud-D
314	Kannada	cloud-D
315	Kodava	cloud-D
316	Telugu	cloud-D
317	Tulu	cloud-D
318	Yeruva	cloud-D
319	Badga	cloud-E
320	Kurukh	cloud-F
321	Malto	cloud-F
322	Brahui	cloud-G
323	Kolami	cloud-H
324	Kuwi	cloud-I
325	Kuwi	cloud-J
326	Kannada	cold-A
327	Kodava	cold-A
328	Malayalam	cold-A
329	Yeruva	cold-A
330	Tamil	cold-B
331	Gondi	cold-C
332	Koya	cold-C
333	Telugu	cold-C
334	Tulu	cold-C
335	Kolami	cold-D
336	Malto	cold-D
337	Parji	cold-D
338	Kodava	cold-E
339	Toda	cold-E
340	Betta_Kurumba	cold-F
341	Badga	cold-G
342	Kota	cold-G
343	Kurukh	cold-H
344	Malto	cold-H
345	Brahui	cold-I
346	Brahui	cold-I
347	Badga	come-A
348	Betta_Kurumba	come-A
349	Brahui	come-A
350	Gondi	come-A
351	Kannada	come-A
352	Kannada	come-A
353	Kodava	come-A
354	Kolami	come-A
355	Koya	come-A
356	Koya	come-A
357	Kurukh	come-A
358	Malayalam	come-A
359	Malto	come-A
360	Ollari_Gadba	come-A
361	Parji	come-A
362	Tamil	come-A
363	Telugu	come-A
364	Telugu	come-A
365	Toda	come-A
366	Tulu	come-A
367	Yeruva	come-A
368	Badga	die-A
369	Brahui	die-A
370	Gondi	die-A
371	Kannada	die-A
372	Kodava	die-A
373	Kurukh	die-A
374	Malto	die-A
375	Parji	die-A
376	Tamil	die-A
377	Tamil	die-A
378	Telugu	die-A
379	Tulu	die-A
380	Yeruva	die-A
381	Betta_Kurumba	die-B
382	Malayalam	die-B
383	Koya	die-C
384	Toda	die-D
385	Kolami	die-E
386	Kota	die-F
387	Badga	dog-A
388	Betta_Kurumba	dog-A
389	Gondi	dog-A
390	Kannada	dog-A
391	Kodava	dog-A
392	Kolami	dog-A
393	Kota	dog-A
394	Koya	dog-A
395	Malayalam	dog-A
396	Ollari_Gadba	dog-A
397	Parji	dog-A
398	Tamil	dog-A
399	Toda	dog-A
400	Tulu	dog-A
401	Yeruva	dog-A
402	Telugu	dog-B
403	Malayalam	dog-C
404	Kurukh	dog-D
405	Brahui	dog-E
406	Malto	dog-E
407	Badga	drink-A
408	Betta_Kurumba	drink-A
409	Kannada	drink-A
410	Kannada	drink-A
411	Kodava	drink-A
412	Malayalam	drink-A
413	Malayalam	drink-A
414	Tamil	drink-A
415	Yeruva	drink-A
416	Telugu	drink-B
417	Brahui	drink-C
418	Gondi	drink-C
419	Kota	drink-C
420	Koya	drink-C
421	Kurukh	drink-C
422	Malto	drink-C
423	Ollari_Gadba	drink-C
424	Parji	drink-C
425	Toda	drink-C
426	Tulu	drink-D
427	Kolami	drink-F
428	Tamil	dry-A
429	Yeruva	dry-B
430	Telugu	dry-C
431	Kota	dry-D
432	Kurukh	dry-D
433	Malto	dry-D
434	Tamil	dry-D
435	Tamil	dry-D
436	Brahui	dry-E
437	Gondi	dry-E
438	Kannada	dry-E
439	Koya	dry-E
440	Malayalam	dry-E
441	Badga	dry-F
442	Kannada	dry-F
443	Kodava	dry-F
444	Malayalam	dry-F
445	Toda	dry-F
446	Tulu	dry-F
447	Koya	dry-G
448	Telugu	dry-G
449	Betta_Kurumba	dry-H
450	Kolami	dry-I
451	Badga	ear-A
452	Betta_Kurumba	ear-A
453	Brahui	ear-A
454	Gondi	ear-A
455	Kannada	ear-A
456	Kodava	ear-A
457	Kolami	ear-A
458	Kota	ear-A
459	Koya	ear-A
460	Koya	ear-A
461	Kurukh	ear-A
462	Kuwi	ear-A
463	Malayalam	ear-A
464	Ollari_Gadba	ear-A
465	Parji	ear-A
466	Telugu	ear-A
467	Toda	ear-A
468	Tulu	ear-A
469	Yeruva	ear-A
470	Malayalam	ear-B
471	Tamil	ear-B
472	Malto	ear-C
473	Gondi	earth-A
474	Kannada	earth-A
475	Kodava	earth-A
476	Malayalam	earth-A
477	Tamil	earth-A
478	Telugu	earth-A
479	Tulu	earth-A
480	Ollari_Gadba	earth-B
481	Parji	earth-B
482	Kurukh	earth-C
483	Toda	earth-D
484	Koya	earth-E
485	Telugu	earth-E
486	Betta_Kurumba	earth-F
487	Kolami	earth-F
488	Kota	earth-F
489	Kuwi	earth-F
490	Malto	earth-F
491	Kuwi	earth-G
492	Brahui	earth-H
493	Badga	eat-A
494	Betta_Kurumba	eat-A
495	Kannada	eat-A
496	Kodava	eat-A
497	Kota	eat-A
498	Koya	eat-A
499	Kuwi	eat-A
500	Malayalam	eat-A
501	Ollari_Gadba	eat-A
502	Parji	eat-A
503	Telugu	eat-A
504	Yeruva	eat-A
505	Tamil	eat-B
506	Tulu	eat-C
507	Kurukh	eat-D
508	Toda	eat-E
509	Brahui	eat-F
510	Malto	eat-G
511	Malto	eat-G
512	Kolami	eat-J
513	Gondi	eat-K
514	Badga	egg-A
515	Kannada	egg-A
516	Kodava	egg-A
517	Kota	egg-A
518	Malayalam	egg-A
519	Tamil	egg-A
520	Toda	egg-A
521	Yeruva	egg-A
522	Telugu	egg-B
523	Kannada	egg-C
524	Tulu	egg-C
525	Koya	egg-D
526	Ollari_Gadba	egg-D
527	Betta_Kurumba	egg-E
528	Brahui	egg-F
529	Brahui	egg-G
530	Malto	egg-H
531	Kurukh	egg-I
532	Kolami	egg-J
533	Gondi	egg-K
534	Kuwi	egg-L
535	Badga	eye-A
536	Betta_Kurumba	eye-A
537	Brahui	eye-A
538	Kannada	eye-A
539	Kodava	eye-A
540	Kolami	eye-A
541	Kota	eye-A
542	Koya	eye-A
543	Kurukh	eye-A
544	Kuwi	eye-A
545	Malayalam	eye-A
546	Malto	eye-A
547	Ollari_Gadba	eye-A
548	Parji	eye-A
549	Tamil	eye-A
550	Telugu	eye-A
551	Toda	eye-A
552	Tulu	eye-A
553	Yeruva	eye-A
554	Malayalam	eye-B
555	Gondi	eye-C
556	Badga	fat-A
557	Gondi	fat-A
558	Kannada	fat-A
559	Kota	fat-A
560	Koya	fat-A
561	Malayalam	fat-A
562	Parji	fat-A
563	Tamil	fat-A
564	Telugu	fat-A
565	Toda	fat-A
566	Koya	fat-B
567	Telugu	fat-B
568	Kurukh	fat-C
569	Brahui	fat-D
570	Kodava	fat-D
571	Tulu	fat-D
572	Yeruva	fat-D
573	Betta_Kurumba	fat-E
574	Betta_Kurumba	fat-F
575	Malto	fat-G
576	Ollari_Gadba	fat-H
577	Badga	feather-A
578	Kota	feather-A
579	Tamil	feather-A
580	Toda	feather-A
581	Malayalam	feather-B
582	Kannada	feather-C
583	Telugu	feather-D
584	Kannada	feather-E
585	Kodava	feather-E
586	Yeruva	feather-E
587	Koya	feather-F
588	Tulu	feather-G
589	Betta_Kurumba	feather-H
590	Gondi	feather-I
591	Kolami	feather-I
592	Brahui	feather-J
593	Malto	feather-K
594	Kurukh	feather-L
595	Tamil	fire-A
596	Telugu	fire-A
597	Betta_Kurumba	fire-B
598	Kota	fire-B
599	Malayalam	fire-B
600	Tamil	fire-B
601	Yeruva	fire-B
602	Kannada	fire-C
603	Telugu	fire-D
604	Badga	fire-E
605	Kodava	fire-E
606	Kolami	fire-E
607	Koya	fire-E
608	Kurukh	fire-E
609	Malto	fire-E
610	Parji	fire-E
611	Toda	fire-E
612	Malayalam	fire-F
613	Telugu	fire-F
614	Tulu	fire-G
615	Koya	fire-H
616	Brahui	fire-I
617	Gondi	fire-J
618	Kuwi	fire-K
619	Badga	fish-A
620	Betta_Kurumba	fish-A
621	Gondi	fish-A
622	Kannada	fish-A
623	Kodava	fish-A
624	Kota	fish-A
625	Malayalam	fish-A
626	Malto	fish-A
627	Ollari_Gadba	fish-A
628	Tamil	fish-A
629	Toda	fish-A
630	Tulu	fish-A
631	Yeruva	fish-A
632	Koya	fish-B
633	Parji	fish-B
634	Telugu	fish-B
635	Kannada	fish-C
636	Malayalam	fish-C
637	Brahui	fish-D
638	Kolami	fish-E
639	Kurukh	fish-F
640	Badga	fly-A
641	Betta_Kurumba	fly-A
642	Gondi	fly-A
643	Kannada	fly-A
644	Kodava	fly-A
645	Kota	fly-A
646	Malayalam	fly-A
647	Tamil	fly-A
648	Toda	fly-A
649	Tulu	fly-A
650	Telugu	fly-B
651	Koya	fly-C
652	Yeruva	fly-D
653	Kurukh	fly-E
654	Malto	fly-E
655	Kolami	fly-F
656	Brahui	fly-G
657	Kannada	foot-A
658	Koya	foot-A
659	Malayalam	foot-A
660	Tamil	foot-A
661	Telugu	foot-A
662	Kannada	foot-B
663	Kuwi	foot-B
664	Malayalam	foot-B
665	Ollari_Gadba	foot-B
666	Tamil	foot-B
667	Telugu	foot-B
668	Betta_Kurumba	foot-C
669	Gondi	foot-C
670	Tamil	foot-C
671	Toda	foot-C
672	Tulu	foot-C
673	Yeruva	foot-C
674	Kurukh	foot-D
675	Badga	foot-E
676	Kodava	foot-E
677	Brahui	foot-F
678	Malto	foot-G
679	Kolami	foot-H
680	Kota	foot-I
681	Toda	full-A
682	Badga	full-B
683	Kannada	full-B
684	Kodava	full-B
685	Yeruva	full-B
686	Gondi	full-C
687	Kolami	full-C
688	Koya	full-C
689	Kurukh	full-C
690	Malayalam	full-C
691	Malto	full-C
692	Tamil	full-C
693	Telugu	full-C
694	Tamil	full-D
695	Tulu	full-E
696	Betta_Kurumba	full-F
697	Brahui	full-G
698	Ollari_Gadba	full-G
699	Kuwi	full-H
700	Badga	give-A
701	Betta_Kurumba	give-A
702	Kannada	give-A
703	Kodava	give-A
704	Malayalam	give-A
705	Tamil	give-A
706	Tulu	give-A
707	Yeruva	give-A
708	Brahui	give-B
709	Kota	give-B
710	Kuwi	give-B
711	Tamil	give-B
712	Gondi	give-C
713	Kolami	give-C
714	Koya	give-C
715	Koya	give-C
716	Kurukh	give-C
717	Malto	give-C
718	Ollari_Gadba	give-C
719	Parji	give-C
720	Telugu	give-C
721	Telugu	give-C
722	Toda	give-C
723	Betta_Kurumba	good-A
724	Kodava	good-A
725	Malayalam	good-A
726	Tamil	good-A
727	Yeruva	good-A
728	Badga	good-B
729	Kannada	good-B
730	Kota	good-B
731	Koya	good-C
732	Telugu	good-C
733	Tulu	good-D
734	Toda	good-E
735	Malto	good-F
736	Brahui	good-G
737	Malto	good-H
738	Kurukh	good-I
739	Kolami	good-J
740	Gondi	good-K
741	Kuwi	good-L
742	Badga	green-A
743	Betta_Kurumba	green-A
744	Gondi	green-A
745	Kannada	green-A
746	Kodava	green-A
747	Kota	green-A
748	Koya	green-A
749	Kuwi	green-A
750	Malayalam	green-A
751	Parji	green-A
752	Tamil	green-A
753	Telugu	green-A
754	Toda	green-A
755	Tulu	green-A
756	Yeruva	green-A
757	Kurukh	green-B
758	Brahui	green-C
759	Malto	green-D
760	Kolami	green-E
761	Gondi	green-F
762	Kuwi	green-G
763	Kuwi	green-H
764	Malayalam	hair-A
765	Tamil	hair-A
766	Kannada	hair-B
767	Kannada	hair-B
768	Tulu	hair-B
769	Telugu	hair-C
770	Badga	hair-D
771	Malayalam	hair-D
772	Kota	hair-E
773	Tamil	hair-E
774	Toda	hair-E
775	Kodava	hair-F
776	Malto	hair-F
777	Yeruva	hair-F
778	Koya	hair-G
779	Kurukh	hair-G
780	Telugu	hair-G
781	Gondi	hair-H
782	Koya	hair-H
783	Brahui	hair-I
784	Betta_Kurumba	hair-J
785	Kolami	hair-K
786	Ollari_Gadba	hair-L
787	Ollari_Gadba	hair-L
788	Kuwi	hair-M
789	Badga	hand-A
790	Betta_Kurumba	hand-A
791	Gondi	hand-A
792	Kannada	hand-A
793	Kodava	hand-A
794	Kolami	hand-A
795	Kota	hand-A
796	Koya	hand-A
797	Kurukh	hand-A
798	Kuwi	hand-A
799	Malayalam	hand-A
800	Ollari_Gadba	hand-A
801	Parji	hand-A
802	Tamil	hand-A
803	Telugu	hand-A
804	Toda	hand-A
805	Tulu	hand-A
806	Yeruva	hand-A
807	Brahui	hand-B
808	Malto	hand-C
809	Gondi	head-A
810	Kannada	head-A
811	Kannada	head-A
812	Kolami	head-A
813	Koya	head-A
814	Kuwi	head-A
815	Malayalam	head-A
816	Ollari_Gadba	head-A
817	Parji	head-A
818	Tamil	head-A
819	Telugu	head-A
820	Yeruva	head-A
821	Badga	head-B
822	Betta_Kurumba	head-B
823	Kodava	head-B
824	Kota	head-B
825	Toda	head-B
826	Tulu	head-B
827	Kurukh	head-C
828	Malto	head-C
829	Malayalam	head-D
830	Brahui	head-E
831	Badga	hear-A
832	Betta_Kurumba	hear-A
833	Gondi	hear-A
834	Kannada	hear-A
835	Kodava	hear-A
836	Kota	hear-A
837	Malayalam	hear-A
838	Tamil	hear-A
839	Toda	hear-A
840	Tulu	hear-A
841	Yeruva	hear-A
842	Koya	hear-C
843	Brahui	hear-D
844	Kolami	hear-D
845	Kurukh	hear-D
846	Malto	hear-D
847	Malto	hear-D
848	Parji	hear-D
849	Telugu	hear-D
850	Kannada	heart-A
851	Kodava	heart-A
852	Malayalam	heart-A
853	Tamil	heart-A
854	Telugu	heart-A
855	Gondi	heart-B
856	Kolami	heart-B
857	Koya	heart-B
858	Telugu	heart-B
859	Kota	heart-C
860	Yeruva	heart-C
861	Toda	heart-D
862	Betta_Kurumba	heart-E
863	Malto	heart-F
864	Kolami	heart-G
865	Brahui	heart-H
866	Kurukh	heart-I
867	Ollari_Gadba	heart-J
868	Badga	horn-A
869	Betta_Kurumba	horn-A
870	Kannada	horn-A
871	Kodava	horn-A
872	Kolami	horn-A
873	Koya	horn-A
874	Malayalam	horn-A
875	Tamil	horn-A
876	Telugu	horn-A
877	Tulu	horn-A
878	Yeruva	horn-A
879	Toda	horn-B
880	Brahui	horn-C
881	Kurukh	horn-C
882	Malto	horn-C
883	Koya	horn-D
884	Gondi	horn-E
885	Ollari_Gadba	horn-E
886	Kannada	kill-A
887	Kodava	kill-A
888	Malayalam	kill-A
889	Tamil	kill-A
890	Yeruva	kill-A
891	Brahui	kill-B
892	Telugu	kill-B
893	Toda	kill-C
894	Tulu	kill-C
895	Badga	kill-D
896	Gondi	kill-E
897	Koya	kill-E
898	Betta_Kurumba	kill-F
899	Malto	kill-G
900	Kota	kill-H
901	Kolami	kill-I
902	Kurukh	kill-J
903	Gondi	kill-K
904	Kannada	knee-A
905	Kota	knee-A
906	Koya	knee-A
907	Kurukh	knee-A
908	Malayalam	knee-A
909	Malto	knee-A
910	Tamil	knee-A
911	Telugu	knee-A
912	Yeruva	knee-A
913	Kannada	knee-B
914	Kodava	knee-B
915	Kuwi	knee-B
916	Badga	knee-C
917	Kolami	knee-C
918	Malayalam	knee-C
919	Tamil	knee-C
920	Tamil	knee-C
921	Toda	knee-C
922	Koya	knee-D
923	Tulu	knee-E
924	Betta_Kurumba	knee-F
925	Gondi	knee-G
926	Ollari_Gadba	knee-H
927	Brahui	knee-I
928	Badga	know-A
929	Kannada	know-A
930	Kodava	know-A
931	Malayalam	know-A
932	Tamil	know-A
933	Telugu	know-A
934	Toda	know-A
935	Yeruva	know-A
936	Parji	know-B
937	Kurukh	know-C
938	Malto	know-C
939	Kannada	know-D
940	Koya	know-D
941	Telugu	know-D
942	Telugu	know-D
943	Brahui	know-E
944	Tamil	know-E
945	Tamil	know-E
946	Tulu	know-E
947	Betta_Kurumba	know-F
948	Betta_Kurumba	know-F
949	Kota	know-G
950	Malto	know-H
951	Malto	know-I
952	Kolami	know-J
953	Ollari_Gadba	know-K
954	Gondi	know-L
955	Badga	leaf-A
956	Betta_Kurumba	leaf-A
957	Kannada	leaf-A
958	Kodava	leaf-A
959	Kota	leaf-A
960	Malayalam	leaf-A
961	Tamil	leaf-A
962	Toda	leaf-A
963	Tulu	leaf-A
964	Yeruva	leaf-A
965	Gondi	leaf-B
966	Kolami	leaf-B
967	Koya	leaf-B
968	Telugu	leaf-B
969	Parji	leaf-C
970	Kurukh	leaf-D
971	Ollari_Gadba	leaf-E
972	Malto	leaf-F
973	Brahui	leaf-G
974	Kuwi	leaf-H
975	Malayalam	lie-A
976	Malto	lie-A
977	Tamil	lie-A
978	Kannada	lie-B
979	Gondi	lie-C
980	Kolami	lie-C
981	Parji	lie-C
982	Koya	lie-D
983	Badga	lie-E
984	Toda	lie-F
985	Telugu	lie-G
986	Toda	lie-H
987	Betta_Kurumba	lie-I
988	Betta_Kurumba	lie-I
989	Kodava	lie-I
990	Tamil	lie-I
991	Tulu	lie-I
992	Yeruva	lie-I
993	Brahui	lie-J
994	Kurukh	lie-K
995	Kurukh	lie-L
996	Gondi	lie-M
997	Kannada	liver-A
998	Kota	liver-A
999	Malayalam	liver-A
1000	Tamil	liver-A
1001	Kolami	liver-B
1002	Koya	liver-B
1003	Telugu	liver-B
1004	Gondi	liver-C
1005	Ollari_Gadba	liver-C
1006	Parji	liver-C
1007	Malayalam	liver-D
1008	Toda	liver-D
1009	Kodava	liver-E
1010	Yeruva	liver-E
1011	Kannada	liver-F
1012	Betta_Kurumba	liver-G
1013	Brahui	liver-H
1014	Malto	liver-I
1015	Kurukh	liver-J
1016	Kota	long-A
1017	Malayalam	long-A
1018	Malayalam	long-A
1019	Tamil	long-A
1020	Tamil	long-A
1021	Tamil	long-A
1022	Yeruva	long-A
1023	Badga	long-B
1024	Betta_Kurumba	long-B
1025	Kannada	long-B
1026	Kodava	long-B
1027	Tulu	long-B
1028	Kolami	long-C
1029	Koya	long-C
1030	Telugu	long-C
1031	Toda	long-D
1032	Brahui	long-E
1033	Kurukh	long-F
1034	Malto	long-F
1035	Gondi	long-G
1036	Betta_Kurumba	louse-A
1037	Kannada	louse-A
1038	Kodava	louse-A
1039	Kolami	louse-A
1040	Kurukh	louse-A
1041	Malayalam	louse-A
1042	Parji	louse-A
1043	Tamil	louse-A
1044	Telugu	louse-A
1045	Tulu	louse-A
1046	Yeruva	louse-A
1047	Toda	louse-B
1048	Gondi	louse-C
1049	Koya	louse-C
1050	Badga	louse-D
1051	Badga	louse-D
1052	Brahui	louse-E
1053	Kota	louse-F
1054	Kodava	man-A
1055	Malayalam	man-A
1056	Tamil	man-A
1057	Tamil	man-A
1058	Kannada	man-B
1059	Malayalam	man-B
1060	Telugu	man-B
1061	Betta_Kurumba	man-C
1062	Kannada	man-C
1063	Kota	man-C
1064	Koya	man-D
1065	Telugu	man-D
1066	Koya	man-E
1067	Badga	man-F
1068	Yeruva	man-G
1069	Kuwi	man-H
1070	Tamil	man-I
1071	Toda	man-J
1072	Tulu	man-K
1073	Brahui	man-L
1074	Malto	man-M
1075	Kurukh	man-N
1076	Kolami	man-O
1077	Gondi	man-P
1078	Kuwi	man-Q
1079	Kuwi	man-R
1080	Kannada	many-A
1081	Malayalam	many-A
1082	Tamil	many-A
1083	Telugu	many-B
1084	Kodava	many-C
1085	Yeruva	many-C
1086	Koya	many-D
1087	Telugu	many-D
1088	Koya	many-E
1089	Badga	many-F
1090	Malayalam	many-G
1091	Tamil	many-H
1092	Toda	many-I
1093	Tulu	many-J
1094	Betta_Kurumba	many-K
1095	Kolami	many-L
1096	Brahui	many-M
1097	Malto	many-N
1098	Malto	many-O
1099	Kurukh	many-P
1100	Gondi	many-Q
1101	Gondi	many-R
1102	Kota	many-S
1103	Kodava	meat-A
1104	Malayalam	meat-A
1105	Tamil	meat-A
1106	Yeruva	meat-A
1107	Kannada	meat-B
1108	Kannada	meat-C
1109	Malayalam	meat-C
1110	Telugu	meat-C
1111	Tulu	meat-C
1112	Tamil	meat-D
1113	Kota	meat-E
1114	Toda	meat-E
1115	Badga	meat-F
1116	Badga	meat-F
1117	Koya	meat-G
1118	Betta_Kurumba	meat-H
1119	Brahui	meat-I
1120	Gondi	meat-I
1121	Kolami	meat-J
1122	Malto	meat-K
1123	Kurukh	meat-L
1124	Kota	meat-M
1125	Badga	moon-A
1126	Kannada	moon-A
1127	Kannada	moon-A
1128	Kodava	moon-A
1129	Koya	moon-A
1130	Kurukh	moon-A
1131	Malayalam	moon-A
1132	Tamil	moon-A
1133	Telugu	moon-A
1134	Tulu	moon-A
1135	Kolami	moon-B
1136	Kota	moon-B
1137	Koya	moon-B
1138	Kuwi	moon-B
1139	Ollari_Gadba	moon-B
1140	Parji	moon-B
1141	Tamil	moon-B
1142	Toda	moon-B
1143	Yeruva	moon-B
